,Nom,trajet,steps,type,distance,time,vehicule_type,distance_autocar,duration_autocar
483,Lens-Reims route 6,Lens;-Reims,"['Lens;-Douai', 'Douai;-Lille Flandres', 'Lille Europe;-Champagne-Ardenne TGV']","['TER', 'TER', 'TGV INOUI']","['25.8 km', '33.6 km', '341 km']","[1800, 1320, 6840]","['HEAVY_RAIL', 'HEAVY_RAIL', 'HIGH_SPEED_TRAIN']",7399,1162
484,Lens-Rennes route 1,Lens;-Rennes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Rennes']","['TGV INOUI', 'TGV INOUI']","['199 km', '356 km']","[4740, 5280]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",29237,3527
485,Lens-Rennes route 2,Lens;-Rennes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Rennes']","['TGV INOUI', 'TGV INOUI']","['199 km', '356 km']","[4740, 5280]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",29237,3527
486,Lens-Rennes route 3,Lens;-Rennes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Rennes']","['TGV INOUI', 'TGV INOUI']","['199 km', '356 km']","[4740, 5280]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",29237,3527
487,Lens-Rennes route 4,Lens;-Rennes,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Rennes']","['TGV INOUI', 'TGV INOUI']","['199 km', '356 km']","[4740, 5280]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",29237,3527
488,Lens-Rennes route 5,Lens;-Rennes,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Rennes']","['TER', 'TGV INOUI', 'TGV INOUI']","['38.7 km', '225 km', '356 km']","[2400, 3900, 5280]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",29237,3527
489,Lens-Rennes route 6,Lens;-Rennes,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Rennes']","['TER', 'TGV INOUI', 'TGV INOUI']","['37.8 km', '225 km', '356 km']","[3540, 3900, 5280]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",29237,3527
490,Lens-Strasbourg route 1,Lens;-Strasbourg,"['Lens;-Gare du Nord', ""Gare de l'Est;-Strasbourg"", 'Strasbourg;-Krimmeri-Meinau']","['TGV INOUI', 'ICE', 'TER']","['199 km', '438 km', '3.2 km']","[4740, 6360, 240]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",5249,1398
491,Lens-Strasbourg route 2,Lens;-Strasbourg,"['Lens;-Gare du Nord', ""Gare de l'Est;-Strasbourg"", 'Strasbourg;-Krimmeri-Meinau']","['TGV INOUI', 'ICE', 'TER']","['199 km', '438 km', '3.2 km']","[4740, 6360, 240]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",5249,1398
492,Lens-Strasbourg route 3,Lens;-Strasbourg,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', ""Gare de l'Est;-Strasbourg"", 'Strasbourg;-Krimmeri-Meinau']","['TER', 'TGV INOUI', 'TGV INOUI', 'TER']","['37.8 km', '225 km', '438 km', '3.2 km']","[3540, 3900, 6360, 180]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",5249,1398
493,Lens-Strasbourg route 4,Lens;-Strasbourg,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', ""Gare de l'Est;-Strasbourg""]","['TER', 'TGV INOUI', 'OUIGO']","['37.8 km', '225 km', '458 km']","[3540, 3900, 9840]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",9018,1968
494,Lens-Strasbourg route 5,Lens;-Strasbourg,"['Lens;-Arras', 'Arras;-Lille Europe', 'Lille Flandres;-Gare du Nord', ""Gare de l'Est;-Strasbourg"", 'Strasbourg;-Krimmeri-Meinau']","['TER', 'TGV INOUI', 'TGV INOUI', 'TGV INOUI', 'TER']","['19.1 km', '54.1 km', '225 km', '438 km', '3.2 km']","[1080, 1260, 3900, 6360, 180]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",6463,1776
495,Lens-Strasbourg route 6,Lens;-Strasbourg,"['Lens;-Lille Flandres', 'Lille Europe;-Charles de Gaulle Airport 2 TGV', 'Charles de Gaulle Airport 2 TGV;-Strasbourg']","['TER', 'TGV INOUI', 'TGV INOUI']","['38.7 km', '203 km', '418 km']","[2340, 3420, 7440]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",6900,1188
496,Lens-Saint-Étienne route 1,Lens;-Saint-Étienne,"['Lens;-Lille Flandres', 'Lille Flandres;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TER', 'OUIGO', 'TER']","['38.7 km', '645 km', '59.8 km']","[2400, 10980, 2820]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",3949,640
497,Lens-Saint-Étienne route 2,Lens;-Saint-Étienne,"['Lens;-Lille Flandres', 'Lille Flandres;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TER', 'OUIGO', 'TER']","['38.7 km', '645 km', '59.8 km']","[2400, 10980, 2820]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",3949,640
498,Lens-Saint-Étienne route 3,Lens;-Saint-Étienne,"['Lens;-Lille Flandres', 'Lille Flandres;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux', 'St-Etienne-Châteaucreux;-Saint-Étienne La Terrasse']","['TER', 'OUIGO', 'TER', 'TER']","['38.7 km', '645 km', '59.8 km', '3.0 km']","[2400, 10980, 2820, 180]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']",2813,390
499,Lens-Saint-Étienne route 4,Lens;-Saint-Étienne,"['Lens;-Gare du Nord', 'Gare de Lyon;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TGV INOUI', 'FR', 'TER']","['199 km', '431 km', '59.8 km']","[4740, 6960, 2940]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']",11001,2569
500,Lens-Saint-Étienne route 5,Lens;-Saint-Étienne,"['Lens;-Gare du Nord', 'Gare de Lyon;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TGV INOUI', 'FR', 'TER']","['199 km', '431 km', '59.8 km']","[4740, 6960, 2940]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']",11001,2569
501,Lens-Saint-Étienne route 6,Lens;-Saint-Étienne,"['Lens;-Arras', 'Arras;-Lille Europe', 'Lille Europe;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TER', 'TGV INOUI', 'TGV INOUI', 'TER']","['19.1 km', '54.1 km', '645 km', '59.8 km']","[1080, 1260, 11040, 2940]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",3949,640
502,Lens-Toulouse route 1,Lens;-Toulouse,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Toulouse Matabiau']","['TGV INOUI', 'TGV INOUI']","['199 km', '794 km']","[4740, 16980]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",28400,3640
503,Lens-Toulouse route 2,Lens;-Toulouse,"['Lens;-Gare du Nord', 'Gare Montparnasse;-Toulouse Matabiau']","['TGV INOUI', 'TGV INOUI']","['199 km', '794 km']","[4740, 16980]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",28400,3640
504,Lens-Toulouse route 3,Lens;-Toulouse,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Toulouse Matabiau']","['TER', 'TGV INOUI', 'TGV INOUI']","['38.7 km', '225 km', '794 km']","[2400, 3900, 16980]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",28400,3640
505,Lens-Toulouse route 4,Lens;-Toulouse,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Toulouse Matabiau']","['TER', 'TGV INOUI', 'TGV INOUI']","['37.8 km', '225 km', '794 km']","[3540, 3900, 16980]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",28400,3640
506,Lens-Toulouse route 5,Lens;-Toulouse,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Toulouse Matabiau']","['TER', 'TGV INOUI', 'TGV INOUI']","['38.7 km', '225 km', '794 km']","[2400, 4020, 16860]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",28400,3640
507,Lens-Toulouse route 6,Lens;-Toulouse,"['Lens;-Lille Flandres', 'Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Bordeaux Saint-Jean']","['TER', 'TGV INOUI', 'TGV INOUI']","['38.7 km', '225 km', '542 km']","[2340, 4020, 9420]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",271748,11176
508,Lille-Angers route 1,Lille;-Angers,"['Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Angers Saint-Laud']","['TGV INOUI', 'TGV INOUI']","['225 km', '298 km']","[3900, 5880]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",34416,4005
509,Lille-Angers route 2,Lille;-Angers,"['Lille Europe;-Gare du Nord', 'Gare Montparnasse;-Angers Saint-Laud']","['TGV INOUI', 'OUIGO']","['238 km', '298 km']","[5340, 4860]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",34568,3964
510,Lille-Angers route 3,Lille;-Angers,"['Lille Flandres;-Charles de Gaulle Airport 2 TGV', 'Gare Montparnasse;-Angers Saint-Laud']","['OUIGO', 'OUIGO']","['203 km', '298 km']","[3480, 4860]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",54793,4685
511,Lille-Angers route 4,Lille;-Angers,"['Lille Europe;-Gare du Nord', 'Gare Montparnasse;-Angers Saint-Laud']","['TGV INOUI', 'OUIGO']","['238 km', '298 km']","[5340, 4860]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",34568,3964
512,Lille-Angers route 5,Lille;-Angers,['Lille Europe;-Angers Saint-Laud'],['TGV INOUI'],['573 km'],[11820],['HIGH_SPEED_TRAIN'],13137,1464
513,Lille-Angers route 6,Lille;-Angers,['Lille Europe;-Angers Saint-Laud'],['TGV INOUI'],['573 km'],[11820],['HIGH_SPEED_TRAIN'],13137,1464
514,Lille-Auxerre route 1,Lille;-Auxerre,"['Lille Flandres;-Gare du Nord', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['TGV INOUI', 'TER', 'TER']","['225 km', '110 km', '61.7 km']","[3900, 3420, 2940]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']",21162,3467
515,Lille-Auxerre route 2,Lille;-Auxerre,"['Lille Flandres;-Gare du Nord', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['TGV INOUI', 'TER', 'TER']","['225 km', '110 km', '61.7 km']","[3900, 3420, 2940]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']",21162,3467
516,Lille-Auxerre route 3,Lille;-Auxerre,"['Lille Flandres;-Gare du Nord', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['TGV INOUI', 'TER', 'TER']","['225 km', '110 km', '61.7 km']","[3900, 3420, 2940]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']",21162,3467
517,Lille-Auxerre route 4,Lille;-Auxerre,"['Lille Flandres;-Marne-la-Vallée - Chessy', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['OUIGO', 'TER', 'TER']","['227 km', '110 km', '61.7 km']","[4320, 3300, 2880]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']",52829,3700
518,Lille-Auxerre route 5,Lille;-Auxerre,"['Lille Flandres;-Charles de Gaulle Airport 2 TGV', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['OUIGO', 'TER', 'TER']","['203 km', '110 km', '61.7 km']","[3480, 3300, 2880]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']",44608,3831
519,Lille-Auxerre route 6,Lille;-Auxerre,"['Lille Flandres;-Marne-la-Vallée - Chessy', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Sens"", 'Sens;-Auxerre Saint-Gervais']","['OUIGO', 'TER', 'TER']","['227 km', '110 km', '61.7 km']","[4320, 3300, 2880]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']",52829,3700
520,Lille-Brest route 1,Lille;-Brest,"['Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Brest Train Station']","['TGV INOUI', 'TGV INOUI']","['225 km', '605 km']","[3900, 13860]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",36307,3956
521,Lille-Brest route 2,Lille;-Brest,"['Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Brest Train Station']","['TGV INOUI', 'TGV INOUI']","['225 km', '605 km']","[3900, 13860]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",36307,3956
522,Lille-Le Havre route 1,Lille;-Le Havre,"['Lille Flandres;-Gare du Nord', 'Saint-Lazare;-Le Havre']","['TGV INOUI', 'TER']","['225 km', '227 km']","[3900, 7500]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",18403,2618
523,Lille-Le Havre route 2,Lille;-Le Havre,"['Lille Flandres;-Gare du Nord', 'Saint-Lazare;-Le Havre']","['TGV INOUI', 'TER']","['225 km', '227 km']","[3900, 7500]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",18403,2618
524,Lille-Le Havre route 3,Lille;-Le Havre,['Lille Europe;-Gare du Nord'],['TGV INOUI'],['238 km'],[5340],['HIGH_SPEED_TRAIN'],206276,8747
525,Lille-Le Havre route 4,Lille;-Le Havre,"['Lille Flandres;-Arras', 'Arras;-Gare du Nord']","['TER', 'TGV INOUI']","['58.9 km', '179 km']","[2100, 3060]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']",206124,8788
526,Lille-Le Havre route 5,Lille;-Le Havre,['Lille Europe;-Charles de Gaulle Airport 2 TGV'],['TGV INOUI'],['203 km'],[3360],['HIGH_SPEED_TRAIN'],225332,9044
527,Lille-Lens route 1,Lille;-Lens,['Lille Centre Hospitalier Régional;-Lens'],['TER'],['30.4 km'],[2700],['HEAVY_RAIL'],11824,1021
528,Lille-Lens route 2,Lille;-Lens,['Lille Flandres;-Lens'],['TER'],['38.7 km'],[2400],['HEAVY_RAIL'],12051,1244
529,Lille-Lens route 3,Lille;-Lens,"['Lille Flandres;-Ostricourt', 'Ostricourt;-Lens']","['TER', 'TER']","['24.0 km', '16.2 km']","[1740, 1380]","['HEAVY_RAIL', 'HEAVY_RAIL']",12051,1244
530,Lille-Lens route 4,Lille;-Lens,['Porte de Douai;-Lens'],['TER'],['33.4 km'],[3000],['HEAVY_RAIL'],7764,1125
531,Lille-Lens route 5,Lille;-Lens,['Lille Centre Hospitalier Régional;-Lens'],['TER'],['30.4 km'],[2700],['HEAVY_RAIL'],11824,1021
532,Lille-Lens route 6,Lille;-Lens,['Lille Centre Hospitalier Régional;-Lens'],['TER'],['30.4 km'],[2700],['HEAVY_RAIL'],11824,1021
533,Lille-Lyon route 1,Lille;-Lyon,['Lille Flandres;-Lyon Saint-Exupéry TGV'],['OUIGO'],['657 km'],[10980],['HIGH_SPEED_TRAIN'],23789,1949
534,Lille-Lyon route 2,Lille;-Lyon,['Lille Flandres;-Lyon Part Dieu'],['OUIGO'],['645 km'],[10980],['HIGH_SPEED_TRAIN'],29569,2506
535,Lille-Lyon route 3,Lille;-Lyon,['Lille Europe;-Lyon Part Dieu'],['TGV INOUI'],['645 km'],[10740],['HIGH_SPEED_TRAIN'],29721,2465
536,Lille-Lyon route 4,Lille;-Lyon,['Lille Europe;-Lyon Part Dieu'],['TGV INOUI'],['645 km'],[10740],['HIGH_SPEED_TRAIN'],29721,2465
537,Lille-Lyon route 5,Lille;-Lyon,['Lille Europe;-Lyon Part Dieu'],['TGV INOUI'],['645 km'],[11160],['HIGH_SPEED_TRAIN'],29721,2465
538,Lille-Lyon route 6,Lille;-Lyon,['Lille Europe;-Lyon Part Dieu'],['TGV INOUI'],['645 km'],[11160],['HIGH_SPEED_TRAIN'],29721,2465
539,Lille-Marseille route 1,Lille;-Marseille,['Lille Flandres;-Marseille Saint-Charles'],['OUIGO'],['966 km'],[16920],['HIGH_SPEED_TRAIN'],18356,1789
540,Lille-Marseille route 2,Lille;-Marseille,"['Lille Flandres;-Gare du Nord', 'Gare de Lyon;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['225 km', '747 km']","[3900, 11040]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",25408,3718
541,Lille-Marseille route 3,Lille;-Marseille,['Lille Flandres;-Marseille Saint-Charles'],['OUIGO'],['965 km'],[17340],['HIGH_SPEED_TRAIN'],18356,1789
542,Lille-Marseille route 4,Lille;-Marseille,['Lille Europe;-Marseille Saint-Charles'],['TGV INOUI'],['965 km'],[17280],['HIGH_SPEED_TRAIN'],18508,1748
543,Lille-Marseille route 5,Lille;-Marseille,"['Lille Flandres;-Gare du Nord', 'Gare de Lyon;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['225 km', '747 km']","[3900, 11880]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",25408,3718
544,Lille-Marseille route 6,Lille;-Marseille,['Lille Flandres;-Marseille Saint-Charles'],['OUIGO'],['966 km'],[18000],['HIGH_SPEED_TRAIN'],18356,1789
545,Lille-Monaco route 1,Lille;-Monaco,['Lille Flandres;-Marseille Saint-Charles'],['OUIGO'],['966 km'],[16920],['HIGH_SPEED_TRAIN'],230673,9647
546,Lille-Monaco route 2,Lille;-Monaco,"['Lille Flandres;-Gare du Nord', 'Gare de Lyon;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'TGV INOUI', 'TER']","['225 km', '940 km', '46.9 km']","[3900, 19020, 3720]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",18959,3088
547,Lille-Monaco route 3,Lille;-Monaco,"['Lille Flandres;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['OUIGO', 'TER', 'TER']","['965 km', '193 km', '46.9 km']","[17340, 7740, 3720]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']",11907,1159
548,Lille-Monaco route 4,Lille;-Monaco,"['Lille Europe;-Lyon Part Dieu', 'Lyon Part Dieu;-Valence TGV Rhône-Alpes Sud', 'Valence TGV Rhône-Alpes Sud;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'TGV INOUI', 'OUIGO', 'TER']","['645 km', '102 km', '413 km', '46.9 km']","[10740, 2160, 10740, 3660]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",12059,1118
549,Lille-Monaco route 5,Lille;-Monaco,['Lille Flandres;-Marseille Saint-Charles'],['OUIGO'],['966 km'],[18000],['HIGH_SPEED_TRAIN'],230673,9647
550,Lille-Monaco route 6,Lille;-Monaco,"['Lille Flandres;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Toulon']","['OUIGO', 'TER']","['966 km', '66.9 km']","[18000, 3300]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",182113,7981
551,Lille-Montpellier route 1,Lille;-Montpellier,"['Lille Flandres;-Avignon TGV', 'Avignon TGV;-Avignon Centre', 'Avignon Centre;-Montpellier Saint-Roch']","['OUIGO', 'TER', 'TER']","['872 km', '4.0 km', '98.4 km']","[14220, 300, 4260]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']",17972,2119
552,Lille-Montpellier route 2,Lille;-Montpellier,"['Lille Flandres;-Gare du Nord', 'Gare de Lyon;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['225 km', '736 km']","[3900, 12540]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",25024,4048
553,Lille-Montpellier route 3,Lille;-Montpellier,"['Lille Flandres;-Gare du Nord', 'Gare de Lyon;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['225 km', '736 km']","[3900, 12540]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",25024,4048
554,Lille-Montpellier route 4,Lille;-Montpellier,"['Lille Europe;-Lyon Part Dieu', 'Lyon Part Dieu;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['645 km', '314 km']","[10740, 6900]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",18124,2078
555,Lille-Montpellier route 5,Lille;-Montpellier,['Lille Europe;-Montpellier Saint-Roch'],['TGV INOUI'],['959 km'],[18600],['HIGH_SPEED_TRAIN'],18124,2078
556,Lille-Montpellier route 6,Lille;-Montpellier,['Lille Europe;-Montpellier Saint-Roch'],['TGV INOUI'],['959 km'],[18600],['HIGH_SPEED_TRAIN'],18124,2078
557,Lille-Nantes route 1,Lille;-Nantes,"['Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Nantes']","['TGV INOUI', 'TGV INOUI']","['225 km', '385 km']","[3900, 8340]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",36973,4203
558,Lille-Nantes route 2,Lille;-Nantes,"['Lille Europe;-Gare du Nord', 'Gare Montparnasse;-Nantes']","['TGV INOUI', 'OUIGO']","['238 km', '385 km']","[5340, 7320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",37125,4162
559,Lille-Nantes route 3,Lille;-Nantes,"['Lille Flandres;-Charles de Gaulle Airport 2 TGV', 'Gare Montparnasse;-Nantes']","['OUIGO', 'OUIGO']","['203 km', '385 km']","[3480, 7320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",57350,4883
560,Lille-Nantes route 4,Lille;-Nantes,"['Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Nantes']","['TGV INOUI', 'TGV INOUI']","['225 km', '385 km']","[3900, 8580]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",36973,4203
561,Lille-Nantes route 5,Lille;-Nantes,['Lille Europe;-Nantes'],['TGV INOUI'],['660 km'],[14280],['HIGH_SPEED_TRAIN'],15694,1662
562,Lille-Nantes route 6,Lille;-Nantes,"['Lille Flandres;-Gare du Nord', 'Gare Montparnasse;-Nantes']","['TGV INOUI', 'TGV INOUI']","['225 km', '385 km']","[4020, 7620]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",36973,4203
563,Lille-Nice route 1,Lille;-Nice,"['Lille Flandres;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['OUIGO', 'TER']","['966 km', '218 km']","[16920, 9125]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",17256,1681
564,Lille-Nice route 2,Lille;-Nice,['Lille Flandres;-Marseille Saint-Charles'],['OUIGO'],['966 km'],[16920],['HIGH_SPEED_TRAIN'],207089,8562
565,Lille-Nice route 3,Lille;-Nice,"['Lille Flandres;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['OUIGO', 'TER']","['965 km', '218 km']","[17340, 9240]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",17256,1681
566,Lille-Nice route 4,Lille;-Nice,"['Lille Europe;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['TGV INOUI', 'TER']","['965 km', '218 km']","[17280, 9240]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",17408,1640
567,Lille-Nice route 5,Lille;-Nice,"['Lille Flandres;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['OUIGO', 'TER']","['966 km', '218 km']","[18000, 9125]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",17256,1681
568,Lille-Nice route 6,Lille;-Nice,"['Lille Flandres;-Gare du Nord', 'Gare de Lyon;-Cannes', 'Cannes;-Nice Saint-Augustin']","['TGV INOUI', 'TGV INOUI', 'TER']","['225 km', '938 km', '25.1 km']","[3900, 18240, 1920]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",24308,3610
569,Lille-Paris Saint-Germain route 1,Lille;-Paris Saint-Germain,['Lille Flandres;-Gare du Nord'],['TGV INOUI'],['225 km'],[3900],['HIGH_SPEED_TRAIN'],25464,2542
570,Lille-Paris Saint-Germain route 2,Lille;-Paris Saint-Germain,['Lille Flandres;-Gare du Nord'],['TGV INOUI'],['225 km'],[3900],['HIGH_SPEED_TRAIN'],25464,2542
571,Lille-Paris Saint-Germain route 3,Lille;-Paris Saint-Germain,['Lille Europe;-Gare du Nord'],['TGV INOUI'],['238 km'],[5340],['HIGH_SPEED_TRAIN'],25616,2501
572,Lille-Paris Saint-Germain route 4,Lille;-Paris Saint-Germain,"['Lille Flandres;-Arras', 'Arras;-Gare du Nord']","['TER', 'TGV INOUI']","['58.9 km', '179 km']","[2100, 3060]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']",25464,2542
573,Lille-Paris Saint-Germain route 5,Lille;-Paris Saint-Germain,['Lille Europe;-Gare du Nord'],['TGV INOUI'],['238 km'],[5340],['HIGH_SPEED_TRAIN'],25616,2501
574,Lille-Paris Saint-Germain route 6,Lille;-Paris Saint-Germain,['Lille Europe;-Charles de Gaulle Airport 2 TGV'],['TGV INOUI'],['203 km'],[3360],['HIGH_SPEED_TRAIN'],45993,3180
575,Lille-Reims route 1,Lille;-Reims,"['Lille Flandres;-Gare du Nord', ""Gare de l'Est;-Champagne-Ardenne TGV""]","['TGV INOUI', 'TGV INOUI']","['225 km', '136 km']","[3900, 2400]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",18379,2602
576,Lille-Reims route 2,Lille;-Reims,['Lille Europe;-Champagne-Ardenne TGV'],['TGV INOUI'],['341 km'],[6840],['HIGH_SPEED_TRAIN'],15903,1651
577,Lille-Reims route 3,Lille;-Reims,"['Lille Europe;-Champagne-Ardenne TGV', ""Champagne-Ardenne TGV;-Franchet d'Esperey""]","['TGV INOUI', 'TER']","['341 km', '7.7 km']","[6840, 420]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",11771,1107
