,Nom,trajet,steps,type,distance,time,vehicule_type
52,Angers-Montpellier route 5,Angers;-Montpellier,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['748 km', '314 km']","[14640, 6660]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
53,Angers-Montpellier route 6,Angers;-Montpellier,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['298 km', '736 km']","[5220, 12540]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
54,Angers-Nantes route 1,Angers;-Nantes,['Angers Saint-Laud;-Nantes'],['TGV INOUI'],['87.3 km'],[2160],['HIGH_SPEED_TRAIN']
55,Angers-Nantes route 2,Angers;-Nantes,['Angers Saint-Laud;-Nantes'],['TGV INOUI'],['87.3 km'],[2160],['HIGH_SPEED_TRAIN']
56,Angers-Nantes route 3,Angers;-Nantes,['Angers Saint-Laud;-Nantes'],['TER21'],['87.3 km'],[2640],['HEAVY_RAIL']
57,Angers-Nantes route 4,Angers;-Nantes,['Angers Saint-Laud;-Nantes'],['TER'],['87.3 km'],[2640],['HEAVY_RAIL']
58,Angers-Nantes route 5,Angers;-Nantes,['Angers Saint-Laud;-Nantes'],['TGV INOUI'],['87.3 km'],[2220],['HIGH_SPEED_TRAIN']
59,Angers-Nantes route 6,Angers;-Nantes,['Angers Saint-Laud;-Nantes'],['TER28'],['87.3 km'],[2520],['HEAVY_RAIL']
60,Angers-Nice route 1,Angers;-Nice,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Cannes', 'Cannes;-Nice Saint-Augustin']","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '940 km', '25.1 km']","[5820, 19020, 1680]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
61,Angers-Nice route 2,Angers;-Nice,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['TER', 'TGV INOUI', 'TGV INOUI', 'TER']","['96.7 km', '620 km', '320 km', '218 km']","[2880, 10800, 6180, 9240]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
62,Angers-Nice route 3,Angers;-Nice,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['TGV INOUI', 'TGV INOUI', 'TER']","['748 km', '320 km', '218 km']","[14640, 5940, 9065]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
63,Angers-Nice route 4,Angers;-Nice,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Cannes', 'Cannes;-Nice Saint-Augustin']","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '938 km', '25.1 km']","[5220, 18240, 1920]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
64,Angers-Nice route 5,Angers;-Nice,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['717 km', '320 km']","[13560, 6120]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
65,Angers-Nice route 6,Angers;-Nice,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['717 km', '320 km']","[13560, 6120]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
66,Angers-Paris Saint-Germain route 1,Angers;-Paris Saint-Germain,['Angers Saint-Laud;-Gare Montparnasse'],['OUIGO'],['298 km'],[5040],['HIGH_SPEED_TRAIN']
67,Angers-Paris Saint-Germain route 2,Angers;-Paris Saint-Germain,['Angers Saint-Laud;-Gare Montparnasse'],['OUIGO'],['298 km'],[5040],['HIGH_SPEED_TRAIN']
68,Angers-Paris Saint-Germain route 3,Angers;-Paris Saint-Germain,['Angers Saint-Laud;-Gare Montparnasse'],['TGV INOUI'],['298 km'],[5820],['HIGH_SPEED_TRAIN']
